id,timestamp,market_ticker,platform,market_type,event_slug,direction,entry_price,size,model_probability,market_price_at_entry,edge_at_entry,settled,settlement_time,settlement_value,result,pnl
323,2026-04-29 16:51:38,2107959,polymarket,btc,btc-updown-5m-1777482000,down,0.495000,75.000000,0.417531,0.505000,0.087469,True,2026-04-29 17:10:37,1.000000,loss,-37.120000
324,2026-04-29 17:02:39,2107987,polymarket,btc,btc-updown-5m-1777482300,up,0.505000,75.000000,0.598926,0.505000,0.093926,True,2026-04-29 17:14:37,0.000000,loss,-37.880000
325,2026-04-29 17:02:39,2107995,polymarket,btc,btc-updown-5m-1777482600,up,0.505000,75.000000,0.598926,0.505000,0.093926,True,2026-04-29 17:20:37,0.000000,loss,-37.880000
326,2026-04-29 17:03:38,2108011,polymarket,btc,btc-updown-5m-1777482900,up,0.505000,75.000000,0.593405,0.505000,0.088405,True,2026-04-29 17:24:37,1.000000,win,37.120000
327,2026-04-29 17:20:38,2108493,polymarket,btc,btc-updown-5m-1777483500,up,0.505000,75.000000,0.593613,0.505000,0.088613,True,2026-04-29 17:34:37,0.000000,loss,-37.880000
328,2026-04-29 17:20:38,2108539,polymarket,btc,btc-updown-5m-1777483800,up,0.505000,75.000000,0.593613,0.505000,0.088613,True,2026-04-29 17:38:37,1.000000,win,37.120000
329,2026-04-29 17:28:38,2108566,polymarket,btc,btc-updown-5m-1777484100,down,0.495000,75.000000,0.398342,0.505000,0.106658,True,2026-04-29 17:44:37,1.000000,loss,-37.120000
330,2026-04-29 17:30:38,2108860,polymarket,btc,btc-updown-5m-1777485300,down,0.480000,75.000000,0.410243,0.520000,0.109757,True,2026-04-29 18:08:37,1.000000,loss,-36.000000
331,2026-04-29 18:01:38,2108948,polymarket,btc,btc-updown-5m-1777485900,up,0.505000,75.000000,0.590592,0.505000,0.085592,True,2026-04-29 18:14:37,0.000000,loss,-37.880000
332,2026-04-29 18:01:38,2108960,polymarket,btc,btc-updown-5m-1777486200,up,0.505000,75.000000,0.590592,0.505000,0.085592,True,2026-04-29 18:22:37,1.000000,win,37.120000
333,2026-04-29 18:05:39,2109014,polymarket,btc,btc-updown-5m-1777486500,down,0.495000,75.000000,0.397565,0.505000,0.107435,True,2026-04-29 18:26:37,0.000000,win,37.880000
334,2026-04-29 18:10:38,2109067,polymarket,btc,btc-updown-5m-1777486800,down,0.495000,75.000000,0.424700,0.505000,0.080300,True,2026-04-29 18:30:37,1.000000,loss,-37.120000
335,2026-04-29 18:15:38,2109447,polymarket,btc,btc-updown-5m-1777487100,down,0.495000,75.000000,0.413571,0.505000,0.091429,True,2026-04-29 18:38:37,0.000000,win,37.880000
336,2026-04-29 18:20:38,2109470,polymarket,btc,btc-updown-5m-1777487400,down,0.495000,75.000000,0.409231,0.505000,0.095769,True,2026-04-29 18:42:37,0.000000,win,37.880000
337,2026-04-29 18:29:38,2109552,polymarket,btc,btc-updown-5m-1777487700,down,0.495000,75.000000,0.406197,0.505000,0.098803,True,2026-04-29 18:46:39,1.000000,loss,-37.120000
338,2026-04-29 18:30:38,2109562,polymarket,btc,btc-updown-5m-1777488000,down,0.495000,75.000000,0.408254,0.505000,0.096746,True,2026-04-29 18:48:37,0.000000,win,37.880000
339,2026-04-29 18:37:39,2109581,polymarket,btc,btc-updown-5m-1777488300,up,0.505000,75.000000,0.598307,0.505000,0.093307,True,2026-04-29 18:52:37,1.000000,win,37.120000
340,2026-04-29 18:47:40,2109594,polymarket,btc,btc-updown-5m-1777488600,up,0.505000,75.000000,0.587881,0.505000,0.082881,True,2026-04-29 18:58:37,1.000000,win,37.120000
341,2026-04-29 18:47:40,2109815,polymarket,btc,btc-updown-5m-1777488900,up,0.505000,75.000000,0.587881,0.505000,0.082881,True,2026-04-29 19:02:37,1.000000,win,37.120000
342,2026-04-29 18:50:38,2109860,polymarket,btc,btc-updown-5m-1777489200,up,0.505000,75.000000,0.597901,0.505000,0.092901,True,2026-04-29 19:10:37,1.000000,win,37.120000
343,2026-04-29 18:53:38,2109880,polymarket,btc,btc-updown-5m-1777489500,up,0.505000,75.000000,0.598521,0.505000,0.093521,True,2026-04-29 19:14:37,0.000000,loss,-37.880000
344,2026-04-29 19:01:38,2109885,polymarket,btc,btc-updown-5m-1777489800,up,0.505000,75.000000,0.588669,0.505000,0.083669,True,2026-04-29 19:22:37,1.000000,win,37.120000
345,2026-04-29 19:10:38,2109905,polymarket,btc,btc-updown-5m-1777490100,down,0.495000,75.000000,0.421193,0.505000,0.083807,True,2026-04-29 19:24:37,0.000000,win,37.880000
346,2026-04-29 19:10:38,2109950,polymarket,btc,btc-updown-5m-1777490400,down,0.495000,75.000000,0.421193,0.505000,0.083807,True,2026-04-29 19:32:37,1.000000,loss,-37.120000
347,2026-04-29 19:30:38,2110130,polymarket,btc,btc-updown-5m-1777491300,down,0.495000,75.000000,0.423566,0.505000,0.081434,True,2026-04-29 19:44:37,1.000000,loss,-37.120000
348,2026-04-29 19:30:38,2110137,polymarket,btc,btc-updown-5m-1777491600,down,0.495000,75.000000,0.423566,0.505000,0.081434,True,2026-04-29 19:50:37,1.000000,loss,-37.120000
349,2026-04-29 19:35:38,2110183,polymarket,btc,btc-updown-5m-1777491900,down,0.495000,75.000000,0.423425,0.505000,0.081575,True,2026-04-29 19:54:37,1.000000,loss,-37.120000
350,2026-04-29 19:49:38,2110189,polymarket,btc,btc-updown-5m-1777492200,up,0.505000,75.000000,0.598087,0.505000,0.093087,True,2026-04-29 20:02:37,1.000000,win,37.120000
351,2026-04-29 19:49:38,2110244,polymarket,btc,btc-updown-5m-1777492500,up,0.505000,75.000000,0.598087,0.505000,0.093087,True,2026-04-29 20:04:37,1.000000,win,37.120000
352,2026-04-29 20:00:38,2110292,polymarket,btc,btc-updown-5m-1777493100,up,0.505000,75.000000,0.587119,0.505000,0.082119,True,2026-04-29 20:16:37,0.000000,loss,-37.880000
353,2026-04-29 20:00:38,2110300,polymarket,btc,btc-updown-5m-1777493400,up,0.505000,75.000000,0.587119,0.505000,0.082119,True,2026-04-29 20:22:37,0.000000,loss,-37.880000
354,2026-04-29 20:06:38,2110310,polymarket,btc,btc-updown-5m-1777493700,up,0.505000,75.000000,0.587944,0.505000,0.082944,True,2026-04-29 20:26:37,1.000000,win,37.120000
355,2026-04-29 20:10:38,2110326,polymarket,btc,btc-updown-5m-1777494000,up,0.505000,75.000000,0.596543,0.505000,0.091543,True,2026-04-29 20:32:37,0.000000,loss,-37.880000
356,2026-04-29 20:14:38,2110366,polymarket,btc,btc-updown-5m-1777494300,down,0.495000,75.000000,0.405970,0.505000,0.099030,True,2026-04-29 20:36:37,1.000000,loss,-37.120000
